Discord Name,Squadron Name,Current Rank Id,Expected Rank Id,Due To Role
CMDR CrashHDD,CrashHDD,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Crestilous,Crestilous,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Dacrian,Dacrian,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Daniel Aurelian,Daniel Aurelian,Regular Customer,Bar Fly,EDAKL Veterans
CMDR Dave Mcmillan,dave McMillan,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Davo,Davo,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Dazza2105,dazza2105,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Deep_Cutz,Deep_CUTZ,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Deeta Tarrant,Deeta Tarrant,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR DoubleCritt,DoubleCritt,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Drackstar,Drackstar,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Dreadspectre,Dreadspectre,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
CMDR Dub McDuff,Dub McDuff,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Duxor,duxor,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR eidyia,eidyia,Regular Customer,Bar Fly,EDAKL Veterans
CMDR Excellen,Excellen,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR FAR_Q,FAR_Q,Regular Customer,Blow Ins,Recruits
CMDR Firzen777,Firzen777,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Fluz,fluz8r,Regular Customer,Bar Fly,EDAKL Veterans
CMDR FROSTBITE 770,FROSTBITE 770,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR G-OFF,G-OFF,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR G0shA,G0shA,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Galactic Pork Chop,Galactic Pork Chop,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Gelidis,Gelidis,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Genoius,Genoius,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Gestir,Gestir,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR GLOL,glol,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
